name,url,rss,api,country,state,city,coverage,category,industry,source_type,signals,language,free,notes,feed_checked,feed_kind,feed_role
Huxiu,https://www.huxiu.com,,,China,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Chinese,Free,"Verified by the apac region audit, 2026-07-29. Chinese business/tech publisher; fetch failed: TimeoutError: The read operation timed out Feed not wired: not live (0, 0 items) (https://www.huxiu.com/rss/0.xml).","2026-07-29 not live (0, 0 items)",,direct
ifanr,https://www.ifanr.com,https://www.ifanr.com/feed,,China,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Chinese,Free,"Verified by the apac region audit, 2026-07-29. Chinese tech publisher",2026-07-29 200 ok,rss,direct
Jiemian,https://www.jiemian.com,https://a.jiemian.com/index.php?m=article&a=rss,,China,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Chinese,Free,"Verified by the apac region audit, 2026-07-29. Chinese business publisher",2026-07-29 200 ok,rss,direct
KrASIA,https://kr-asia.com,,,China,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. 36Kr English arm, China + SEA; no working RSS: this URL serves HTML; needs an HTML parser; served HTML not XML (ctype=text/html; charset=utf-8) Feed not wired: not live (200, 0 items) (https://kr-asia.com/feed).","2026-07-29 not live (200, 0 items)",,direct
Leiphone,https://www.leiphone.com,https://www.leiphone.com/feed,,China,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Chinese,Free,"Verified by the apac region audit, 2026-07-29. Chinese AI/tech publisher",2026-07-29 200 ok,rss,direct
PingWest,https://www.pingwest.com,,,China,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Chinese,Free,"Verified by the apac region audit, 2026-07-29. Chinese tech publisher; no working RSS: this URL serves HTML; needs an HTML parser; served HTML not XML (ctype=text/html; charset=utf-8) Feed not wired: not live (200, 0 items) (https://www.pingwest.com/feed).","2026-07-29 not live (200, 0 items)",,direct
Sixth Tone,https://www.sixthtone.com,https://www.sixthtone.com/rss,,China,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. Feature publisher; feed carries no item-level date element; dedupe/recency must come from the article page, not the feed; items present, no parseable date",2026-07-29 200 ok,rss,direct
TechNode,https://technode.com,https://technode.com/feed/,,China,,Shanghai,Regional,Technology News,Technology,Technology News,Funding; Executive Hire,English,Free,"Supplied by the owner, 2026-07-27. Not yet read by a collector.",,rss,direct
Yicai Global,https://www.yicaiglobal.com,,,China,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the apac region audit, 2026-07-29. Business media group; no feed at any URL tried; needs HTML parsing Feed not wired: not live (404, 0 items) (https://www.yicaiglobal.com/rss/news).","2026-07-29 not live (404, 0 items)",,direct
El Espectador Economia,https://www.elespectador.com,,,Colombia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. arc outboundfeeds 404; needs HTML parsing [tried: https://www.elespectador.com/arc/outboundfeeds/rss/?outputType=xml] Feed not wired: not live (404, 0 items) ().","2026-07-29 not live (404, 0 items)",,direct
El Tiempo,https://www.eltiempo.com,https://www.eltiempo.com/rss/economia.xml,,Colombia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Forbes Colombia,https://forbes.co,,,Colombia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. /feed and /feed/ both return HTTP 401; needs HTML parsing [tried: https://forbes.co/feed] Feed not wired: not live (401, 0 items) ().","2026-07-29 not live (401, 0 items)",,direct
Impacto TIC,https://impactotic.co,https://impactotic.co/feed/,,Colombia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
La Republica,https://www.larepublica.co,https://www.larepublica.co/rss/economia,,Colombia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
MinTIC Colombia,https://www.mintic.gov.co,,,Colombia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. /portal/inicio/rss/ 404; needs HTML parsing [tried: https://www.mintic.gov.co/portal/inicio/rss/] Feed not wired: not live (404, 0 items) ().","2026-07-29 not live (404, 0 items)",,direct
Portafolio,https://www.portafolio.co,,,Colombia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. homepage autodiscovery points at /rss but that URL serves HTML, not XML; needs HTML parsing [tried: https://www.portafolio.co/rss/negocios] Feed not wired: not live (404, 0 items) ().","2026-07-29 not live (404, 0 items)",,direct
Semana,https://www.semana.com,https://www.semana.com/arc/outboundfeeds/rss/?outputType=xml,,Colombia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Valora Analitik,https://www.valoraanalitik.com,https://www.valoraanalitik.com/feed/,,Colombia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
CINDE,https://www.cinde.org,,,Costa Rica,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. investment-promotion agency, /en/feed serves HTML; needs HTML parsing (high value: announces FDI job creation in Costa Rica) [tried: https://www.cinde.org/en/feed] Feed not wired: not live (200, 0 items) ().","2026-07-29 not live (200, 0 items)",,direct
CRHoy,https://www.crhoy.com,,,Costa Rica,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. homepage declares /feed/ but that URL returns 404; needs HTML parsing [tried: https://www.crhoy.com/feed/] Feed not wired: not live (404, 0 items) ().","2026-07-29 not live (404, 0 items)",,direct
Delfino.cr,https://delfino.cr,https://delfino.cr/feed,,Costa Rica,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
El Financiero CR,https://www.elfinancierocr.com,https://www.elfinancierocr.com/arc/outboundfeeds/rss/?outputType=xml,,Costa Rica,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
La Republica CR,https://www.larepublica.net,,,Costa Rica,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. no RSS: /rss, /rss/, /feed/, /rss/ultimas-noticias all 404, no autodiscovery; needs HTML parsing [tried: https://www.larepublica.net/rss] Feed not wired: not live (404, 0 items) ().","2026-07-29 not live (404, 0 items)",,direct
Q Costa Rica,https://qcostarica.com,https://qcostarica.com/feed/,,Costa Rica,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
The Tico Times,https://ticotimes.net,https://ticotimes.net/feed,,Costa Rica,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Bug,https://www.bug.hr,https://www.bug.hr/rss,,Croatia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Croatian,Free,"Verified by the europe region audit, 2026-07-29. Tech trade press.",2026-07-29 200 ok,rss,direct
Index.hr,https://www.index.hr,https://www.index.hr/rss,,Croatia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Croatian,Free,"Verified by the europe region audit, 2026-07-29. High-volume national news.",2026-07-29 200 ok,rss,direct
Netokracija,https://www.netokracija.com,https://www.netokracija.com/feed,,Croatia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Croatian,Free,"Verified by the europe region audit, 2026-07-29. REGIONAL: Zagreb-based startup/tech title covering HR/RS/SI and the wider region.",2026-07-29 200 ok,rss,direct
Poslovni dnevnik,https://www.poslovni.hr,https://www.poslovni.hr/feed,,Croatia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Croatian,Free,"Verified by the europe region audit, 2026-07-29. Business daily.",2026-07-29 200 ok,rss,direct
Cubadebate,http://www.cubadebate.cu,,,Cuba,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live Feed not wired: not live (200, 10 items) (http://www.cubadebate.cu/feed/).","2026-07-29 not live (200, 10 items)",,direct
OnCuba News,https://oncubanews.com,https://oncubanews.com/feed/,,Cuba,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Curacao Chronicle,https://www.curacaochronicle.com,,,Curacao,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. /feed/ serves HTML; needs HTML parsing [tried: https://www.curacaochronicle.com/feed/] Feed not wired: not live (200, 0 items) ().","2026-07-29 not live (200, 0 items)",,direct
Cyprus Mail,https://cyprus-mail.com,https://cyprus-mail.com/feed/,,Cyprus,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the europe region audit, 2026-07-29. English-language daily of record.",2026-07-29 200 ok,rss,direct
Cyprus News Agency,https://cna.org.cy,,,Cyprus,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Greek,Free,"Verified by the europe region audit, 2026-07-29. NEEDS HTML PARSING. National news agency; /feed/ serves an HTML page. Feed not wired: not live (200, 0 items) (https://cna.org.cy/feed/).","2026-07-29 not live (200, 0 items)",,direct
Financial Mirror,https://www.financialmirror.com,https://www.financialmirror.com/feed/,,Cyprus,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the europe region audit, 2026-07-29. Business/finance. Intermittent 522 on first hit, 200 on retry; needs a retry policy.",2026-07-29 200 ok,rss,direct
Kathimerini Cyprus,https://www.kathimerini.com.cy,,,Cyprus,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Greek,Free,"Verified by the europe region audit, 2026-07-29. NEEDS HTML PARSING. No feed on any path incl. the knews subdomain. Feed not wired: not live (404, 0 items) (https://www.kathimerini.com.cy/feed/).","2026-07-29 not live (404, 0 items)",,direct
Philenews,https://www.philenews.com,,,Cyprus,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Greek,Free,"Verified by the europe region audit, 2026-07-29. Largest Cypriot news site. Feed not wired: robots.txt disallows this path (https://www.philenews.com/feed/).",2026-07-29 robots.txt disallows this path,,direct
Philenews (English),https://en.philenews.com,https://en.philenews.com/feed/,,Cyprus,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the europe region audit, 2026-07-29. English desk; in-cyprus.philenews.com now redirects here.",2026-07-29 200 ok,rss,direct
Politis,https://www.politis.com.cy,https://www.politis.com.cy/feed/,,Cyprus,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Greek,Free,"Verified by the europe region audit, 2026-07-29. National daily.",2026-07-29 200 ok,rss,direct
Reporter,https://www.reporter.com.cy,,,Cyprus,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Greek,Free,"Verified by the europe region audit, 2026-07-29. Valid RSS envelope with ZERO items. Needs HTML parsing. Feed not wired: not live (200, 0 items) (https://www.reporter.com.cy/feed/).","2026-07-29 not live (200, 0 items)",,direct
Sigmalive,https://www.sigmalive.com,,,Cyprus,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Greek,Free,"Verified by the europe region audit, 2026-07-29. ABANDONED FEED, AND A TRAP: 200 OK, well-formed RSS, 25 items, but nothing newer than 2024-09-18. A status-code-only health check calls this healthy. Do not add. Feed not wired: live but stale, newest item 2024-09-18 (https://www.sigmalive.com/rss/news).","2026-07-29 live but stale, newest item 2024-09-18",,direct
StockWatch,https://www.stockwatch.com.cy,,,Cyprus,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Greek,Free,"Verified by the europe region audit, 2026-07-29. NEEDS HTML PARSING. Business/markets outlet, no feed on any path. Feed not wired: not live (404, 0 items) (https://www.stockwatch.com.cy/rss).","2026-07-29 not live (404, 0 items)",,direct
CzechCrunch,https://cc.cz,https://cc.cz/feed/,,Czechia,,Prague,National,Technology News,Technology,Technology News,Funding; Executive Hire; Company Expansion,Czech,Free,Feed fetched and parsed 2026-07-29.,2026-07-29 200 ok,rss,direct
E15,https://www.e15.cz,https://www.e15.cz/rss,,Czechia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Czech,Free,"Verified by the europe region audit, 2026-07-29. Business daily.",2026-07-29 200 ok,rss,direct
Lupa.cz,https://www.lupa.cz,https://www.lupa.cz/rss/clanky/,,Czechia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Czech,Free,"Verified by the europe region audit, 2026-07-29. Internet/tech business.",2026-07-29 200 ok,rss,direct
Bootstrapping.dk,https://bootstrapping.dk,https://bootstrapping.dk/feed/,,Denmark,,Copenhagen,National,Startup Ecosystem,Technology,Technology News,Funding; Executive Hire; Company Expansion,Danish,Free,Feed fetched and parsed 2026-07-29.,2026-07-29 200 ok,rss,direct
Borsen,https://borsen.dk,https://borsen.dk/rss,,Denmark,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Danish,Free,"Verified by the europe region audit, 2026-07-29. Business daily.",2026-07-29 200 ok,rss,direct
DR Nyheder Penge,https://www.dr.dk,https://www.dr.dk/nyheder/service/feeds/penge,,Denmark,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Danish,Free,"Verified by the europe region audit, 2026-07-29. Public broadcaster, money desk.",2026-07-29 200 ok,rss,direct
Insurtech Insights,https://www.insurtechinsights.com,,,Denmark,,,Global,Industry Community,Insurance,Conference Organizer,Companies; Funding; Hiring; Partnership; Economic Development,English,Free/Paid,Official source URL verified on 2026-07-27.,,,
TechSavvy,https://techsavvy.media,https://techsavvy.media/feed/,,Denmark,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Danish,Free,"Verified by the europe region audit, 2026-07-29. Tech business.",2026-07-29 200 ok,rss,direct
Version2,https://www.version2.dk,https://www.version2.dk/rss,,Denmark,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Danish,Free,"Verified by the europe region audit, 2026-07-29. IT/tech trade press.",2026-07-29 200 ok,rss,direct
Dominica News Online,https://dominicanewsonline.com,https://dominicanewsonline.com/news/feed/,,Dominica,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Acento,https://acento.com.do,,,Dominican Republic,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. ?feed=rss2 serves HTML, /feed/ and /feed/rss/ 404; needs HTML parsing [tried: https://acento.com.do/feed/] Feed not wired: not live (404, 0 items) ().","2026-07-29 not live (404, 0 items)",,direct
Diario Libre,https://www.diariolibre.com,,,Dominican Republic,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. /rss/portada.xml is malformed XML (unescaped characters in <category> URLs, fails strict parse) - use the economia feed instead [tried: https://www.diariolibre.com/rss/portada.xml] Feed not wired: not live (200, 0 items) ().","2026-07-29 not live (200, 0 items)",,direct
Diario Libre economia,https://www.diariolibre.com,https://www.diariolibre.com/rss/economia.xml,,Dominican Republic,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
El Dinero,https://eldinero.com.do,https://eldinero.com.do/feed/,,Dominican Republic,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Listin Diario,https://listindiario.com,https://listindiario.com/rss/economia.xml,,Dominican Republic,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
El Comercio Ecuador,https://www.elcomercio.com,https://www.elcomercio.com/feed/,,Ecuador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
El Universo,https://www.eluniverso.com,,,Ecuador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live Feed not wired: robots.txt disallows this path (https://www.eluniverso.com/arc/outboundfeeds/rss/?outputType=xml).",2026-07-29 robots.txt disallows this path,,direct
Expreso,https://www.expreso.ec,https://www.expreso.ec/rss,,Ecuador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Primicias,https://www.primicias.ec,https://www.primicias.ec/rss/home.xml,,Ecuador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Primicias economia,https://www.primicias.ec,https://www.primicias.ec/rss/economia.xml,,Ecuador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Ahram Online,https://english.ahram.org.eg,,,Egypt,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the mea region audit, 2026-07-29. BLOCKED/NO FEED. RSS.aspx and /feed return 403, other paths 404. Feed not wired: not live (200, 0 items) ().","2026-07-29 not live (200, 0 items)",,direct
Daily News Egypt,https://www.dailynewsegypt.com,https://www.dailynewsegypt.com/feed/,,Egypt,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the mea region audit, 2026-07-29. MALFORMED XML (stray invalid token mid-document) - parses only with a tolerant reader, same caveat as Times of Oman. [tolerant parse required]",2026-07-29 200 ok,rss,direct
Enterprise,https://enterprise.press,https://enterpriseam.com/egypt/feed/,,Egypt,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the mea region audit, 2026-07-29. enterprise.press now redirects to enterpriseam.com/egypt/ - store the redirected feed URL. Egypt's main business-news briefing.",2026-07-29 200 ok,rss,direct
Mada Masr,https://www.madamasr.com/en/,https://www.madamasr.com/en/feed/,,Egypt,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the mea region audit, 2026-07-29. Independent English edition; Arabic twin at /ar/feed/.",2026-07-29 200 ok,rss,direct
Diario El Salvador,https://diarioelsalvador.com,,,El Salvador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. /feed/ 404; needs HTML parsing [tried: https://diarioelsalvador.com/feed/] Feed not wired: not live (404, 0 items) ().","2026-07-29 not live (404, 0 items)",,direct
El Faro,https://elfaro.net,,,El Salvador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. no feed found (/rss.xml, /rss/, /feed/ all 404, no autodiscovery); needs HTML parsing [tried: https://elfaro.net/rss.xml] Feed not wired: not live (404, 0 items) ().","2026-07-29 not live (404, 0 items)",,direct
El Mundo,https://diario.elmundo.sv,,,El Salvador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. /feed/ serves HTML; needs HTML parsing [tried: https://diario.elmundo.sv/feed/] Feed not wired: not live (200, 0 items) ().","2026-07-29 not live (200, 0 items)",,direct
elsalvador.com,https://www.elsalvador.com,https://www.elsalvador.com/feed/,,El Salvador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. STALE. feed is alive but stale - newest item 2026-03-12; the /category/noticias/ feed is worse (2025-04-03)",2026-07-29 200 ok,rss,direct
elsalvador.com negocios,https://www.elsalvador.com,,,El Salvador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. STALE. feed parses but is stale Re-probed 2026-08-02: the business section feed stopped in 2025-08. The front-page elsalvador.com feed is quiet rather than dead (143d) and stays wired.",2026-08-02 not live (200 but the newest item is 353d old) (https://www.elsalvador.com/category/noticias/negocios/feed/),,direct
elsalvador.com Noticias,https://www.elsalvador.com,,,El Salvador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. STALE. feed parses but is stale Feed not wired: live but stale, newest item 2025-04-03 (https://www.elsalvador.com/category/noticias/feed/).","2026-07-29 live but stale, newest item 2025-04-03",,direct
Focos,https://focostv.com,https://focostv.com/feed/,,El Salvador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Gato Encerrado,https://gatoencerrado.news,https://gatoencerrado.news/feed/,,El Salvador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
La Prensa Grafica,https://www.laprensagrafica.com,,,El Salvador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. 403 to automated clients on both /rss/economia.xml and /feed/; needs HTML parsing [tried: https://www.laprensagrafica.com/rss/economia.xml] Feed not wired: not live (403, 0 items) ().","2026-07-29 not live (403, 0 items)",,direct
Revista Summa,https://revistasumma.com,https://revistasumma.com/feed/,,El Salvador,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Aripaev,https://www.aripaev.ee,https://www.aripaev.ee/rss,,Estonia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Estonian,Free,"Verified by the europe region audit, 2026-07-29. Business daily.",2026-07-29 200 ok,rss,direct
ERR,https://www.err.ee,https://www.err.ee/rss,,Estonia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Estonian,Free,"Verified by the europe region audit, 2026-07-29. Public broadcaster.",2026-07-29 200 ok,rss,direct
Startup Estonia,https://startupestonia.ee,https://startupestonia.ee/feed/,,Estonia,,Tallinn,National,Startup Ecosystem,Technology,Government-Supported Organization,Funding; Programme Launch,English,Free,Feed fetched and parsed 2026-07-29. State-backed ecosystem body publishing its own announcements. Its dashboard blends commercial aggregator data; only the announcements are used.,2026-07-29 200 ok,rss,direct
Addis Fortune,https://addisfortune.news,https://addisfortune.news/feed,,Ethiopia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the mea region audit, 2026-07-29. Business weekly.",2026-07-29 200 ok,rss,direct
Addis Standard,https://addisstandard.com,,,Ethiopia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the mea region audit, 2026-07-29. BLOCKED. All paths 403 even with browser headers. Feed not wired: not live (403, 0 items) ().","2026-07-29 not live (403, 0 items)",,direct
Capital Ethiopia,https://capitalethiopia.com,https://capitalethiopia.com/feed/,,Ethiopia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the mea region audit, 2026-07-29. Business weekly; thin feed (4 items).",2026-07-29 200 ok,rss,direct
Shega,https://shega.co,,,Ethiopia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the mea region audit, 2026-07-29. NO FEED - /rss.xml and /feed 404, no rel=alternate, and no news sitemap. Its plain https://shega.co/sitemap.xml IS live (2,087 URLs, newest 2026-07-28) and is the practical crawl entry point. Ethiopia's dedicated tech/startup/fintech publisher and the highest-value HTML-parsing target in East Africa. Feed not wired: not live (200, 0 items) ().","2026-07-29 not live (200, 0 items)",,direct
The Reporter Ethiopia,https://www.thereporterethiopia.com,https://www.thereporterethiopia.com/feed/,,Ethiopia,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the mea region audit, 2026-07-29. Largest private English weekly.",2026-07-29 200 ok,rss,direct
European Space Agency,https://www.esa.int,https://www.esa.int/rssfeed/Our_Activities/Space_News,,Europe (regional),,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the europe region audit, 2026-07-29. Primary-source contract and programme announcements.",2026-07-29 200 ok,rss,direct
European Biotechnology Magazine,https://european-biotechnology.com,https://european-biotechnology.com/feed/,,Europe (regional),,,Regional,Trade Publication,Healthcare,Trade Publication,Funding; Executive Hire; Partnership,English,Free,"Wired 2026-07-30 from the recall rejection audit (publisher_unknown, 1 miss: eu_funding:brenus-pharma FR 2026-07-20). Verified through national_press's own path: robots.txt allows (wp-admin/includes/plugins/themes/fileadmin only), rel=alternate declares the feed, 10 items, newest 0d, no domain drift. The imprint page renders behind a form and states no readable seat, so the region is recorded rather than a guessed one; coverage=Regional, so the dateline says regional and claims no country.","2026-07-30 live (200, 10 items, newest 0d)",rss,direct
pv magazine,https://www.pv-magazine.com,https://www.pv-magazine.com/feed/,,Europe (regional),,,Global,Trade Publication,Technology,Trade Publication,Funding; Company Expansion; New Facility,English,Free/Paid,"Wired 2026-07-30 from the recall rejection audit (publisher_unknown, 1 miss: us_funding_small:sofab-inks US 2026-07-21). Verified through national_press's own path: robots.txt is a Yoast block with an empty Disallow, rel=alternate declares the feed, 10 items, newest 0d, no domain drift. The global edition of a solar and storage trade title; /imprint/ 404s, so the region is recorded rather than a guessed seat, and coverage=Global means the dateline claims no country regardless.","2026-07-30 live (200, 10 items, newest 0d)",rss,direct
CORDIS,https://cordis.europa.eu,,,European Union,,,Europe,Research Funding,Science & Technology,EU Portal,Companies; Funding; Hiring; Partnership; Economic Development,English,Free/Paid,Official source URL verified on 2026-07-27.,,,
